label,kind,count,cmc_mean,cmc_median,cmc_p25,cmc_p75,cmc_std,cheap_frac_<=2,heavy_frac_>=6,instant_frac,sorcery_frac,creature_frac,permanent_frac,persistence_mean,persistence_median,edhrec_median,edhrec_p25,edhrec_p75,is_land_frac,is_land_count,is_ramp_frac,is_ramp_count,is_card_draw_frac,is_card_draw_count,is_board_wipe_frac,is_board_wipe_count,is_removal_frac,is_removal_count,is_game_changer_frac,is_game_changer_count,is_mass_land_denial_frac,is_mass_land_denial_count,is_extra_turn_frac,is_extra_turn_count,is_nonland_tutor_frac,is_nonland_tutor_count,is_permanent_card_frac,is_permanent_card_count,has_persistent_output_frac,has_persistent_output_count,cmc_mean_z_global
artifacts,theme,3608,3.3145787139689578,3.0,2.0,4.0,1.78002849136099,0.3478381374722838,0.10920177383592018,0.051274944567627496,0.04406873614190687,0.5767738359201774,0.9046563192904656,1.2195121951219512,1.0,12610.5,6585.25,19229.75,0.01579822616407982,57,0.16574279379157428,598,0.12555432372505543,453,0.0024944567627494456,9,0.046008869179600884,166,0.0,0,0.0,0,0.0002771618625277162,1,0.021341463414634148,77,0.8902439024390244,3212,0.32926829268292684,1188,-0.055099489877512495
control,theme,12426,3.497424754546918,3.0,2.0,5.0,1.7247504197166301,0.3022694350555287,0.12280701754385964,0.08047642040882022,0.05786254627394174,0.5470787059391599,0.8616610333172381,1.0132786093674553,1.0,14451.0,7189.5,22105.5,0.009254788347014325,115,0.06816352808627073,847,0.09528408176404314,1184,0.014083373571543538,175,0.08691453404152583,1080,0.0,0,0.0007242877836793819,9,0.0011266698857234831,14,0.01529051987767584,190,0.8540962497988089,10613,0.15918235956864638,1978,0.054500946389460535
counters,theme,4959,3.598911070780399,3.0,2.0,5.0,1.7982107864830417,0.288969550312563,0.1377293809235733,0.05303488606573906,0.056462996571889496,0.715466827989514,0.8905021173623714,1.0532365396249244,1.0,13099.5,6965.5,20205.5,0.01109094575519258,55,0.0863077233313168,428,0.09175236942932043,455,0.002621496269409155,13,0.04073401895543456,202,0.0,0,0.0006049606775559589,3,0.0014115749142972374,7,0.015124016938898971,75,0.877596289574511,4352,0.1756402500504134,871,0.11533324278023212
graveyard,theme,4833,3.5187254293399546,3.0,2.0,5.0,1.8430309146449506,0.308504034761018,0.1388371611835299,0.11359404096834265,0.17483964411338712,0.5274156838402648,0.7115663149182703,0.8204014069935858,1.0,13386.5,7356.25,20173.75,0.02834678253672667,137,0.11980136561142148,579,0.14649286157666047,708,0.005379681357334989,26,0.08897165321746327,430,0.0,0,0.0006207324643078833,3,0.0008276432857438444,4,0.038485412787088766,186,0.6815642458100558,3294,0.1388371611835299,671,0.0672688643750969
lands,theme,1067,3.331771321462043,3.0,2.0,4.0,1.9570249192071587,0.3580131208997188,0.13402061855670103,0.07310215557638237,0.1583880037488285,0.5201499531396439,0.7685098406747891,0.8359887535145267,1.0,10636.0,4387.0,18434.0,0.06560449859418932,70,0.10965323336457357,117,0.09746954076850985,104,0.0037488284910965324,4,0.05154639175257732,55,0.0,0,0.005623242736644799,6,0.0009372071227741331,1,0.1246485473289597,133,0.7019681349578257,749,0.13402061855670103,143,-0.044794004038974156
lifegain,theme,2450,3.313061224489796,3.0,2.0,4.0,1.682670622796687,0.33918367346938777,0.1036734693877551,0.12081632653061225,0.10040816326530612,0.5530612244897959,0.7787755102040816,0.943265306122449,1.0,13146.0,6281.0,20012.0,0.020816326530612245,51,0.0763265306122449,187,0.11183673469387755,274,0.004489795918367347,11,0.06285714285714286,154,0.0,0,0.00040816326530612246,1,0.0016326530612244899,4,0.012653061224489797,31,0.7551020408163265,1850,0.18816326530612246,461,-0.05600909398171386
sacrifice,theme,1959,3.1995916283818273,3.0,2.0,4.0,1.703217337055043,0.3557937723328229,0.0816743236345074,0.0515569167942828,0.0515569167942828,0.7136294027565084,0.8968861664114344,1.004594180704441,1.0,16893.0,8764.5,24341.0,0.021949974476773864,43,0.08779989790709546,172,0.11842776927003573,232,0.005104645227156712,10,0.09086268504338949,178,0.0,0,0.0,0,0.0015313935681470138,3,0.033180193976518634,65,0.8728943338437979,1710,0.13169984686064318,258,-0.12402433345400696
spellslinger,theme,3126,3.4811260396673065,3.0,2.0,5.0,1.836084114105129,0.3266154830454255,0.14299424184261036,0.17690339091490723,0.18746001279590532,0.4676903390914907,0.6356365962891874,0.7440818937939859,1.0,13407.5,6918.75,20201.0,0.018554062699936022,58,0.1346769033909149,421,0.17338451695457455,542,0.005438259756877799,17,0.09404990403071017,294,0.0,0,0.0009596928982725527,3,0.0019193857965451055,6,0.03742802303262956,117,0.6158029430582214,1925,0.12827895073576456,401,0.044731272100917374
tokens,theme,3592,3.619432071269488,3.0,2.0,5.0,1.677404835625393,0.2522271714922049,0.12694877505567928,0.08324053452115814,0.12583518930957685,0.5370267260579065,0.7909242761692651,1.685412026726058,2.0,10186.0,5343.0,16268.0,0.019766146993318485,71,0.1539532293986637,553,0.12193763919821826,438,0.004732739420935412,17,0.05874164810690423,211,0.0,0,0.0,0,0.0008351893095768374,3,0.01670378619153675,60,0.7703229398663697,2767,0.9150890868596881,3287,0.1276338132444853
voltron,theme,14473,3.48980860913425,3.0,2.0,5.0,1.7236080648654073,0.3065708560768327,0.1234712913701375,0.06439577143646791,0.03931458578041871,0.5924134595453603,0.8962896427831134,1.0570717888482002,1.0,15018.5,7721.75,22482.25,0.008636771920127134,125,0.07137428314793062,1033,0.08926967456643405,1292,0.0025564844883576316,37,0.056380847094589924,816,0.0,0,0.0004836592275271195,7,0.0008291301043322048,12,0.015338906930145788,222,0.8886201893180405,12861,0.16845159953015962,2438,0.04993572388170169
artifact,role,3377,3.133254367782055,3.0,2.0,4.0,1.7341895925581345,0.3873260290198401,0.09475866153390583,0.0005922416345869114,0.0011844832691738228,0.33876221498371334,0.9982232750962393,1.1356233343204027,1.0,12899.0,6052.75,20229.75,0.010068107787977496,34,0.1163754811963281,393,0.12140953509031685,410,0.0026650873556411016,9,0.035238377257921234,119,0.0,0,0.0011844832691738228,4,0.0017767249037607344,6,0.018359490672194254,62,1.0,3377,0.13562333432040272,458,-0.16378780155815198
board_wipe_creatures,role,179,4.581005586592179,5.0,3.0,6.0,1.7806775105607513,0.09497206703910614,0.2905027932960894,0.1005586592178771,0.6927374301675978,0.10614525139664804,0.20670391061452514,0.3240223463687151,0.0,11879.0,5553.5,18500.0,0.0,0,0.01675977653631285,3,0.05027932960893855,9,0.8770949720670391,157,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.20670391061452514,37,0.11731843575418995,21,0.7040142284233367
board_wipe_noncreature,role,60,4.433333333333334,4.0,3.0,6.0,1.6468825769380837,0.11666666666666667,0.26666666666666666,0.1,0.65,0.13333333333333333,0.25,0.3333333333333333,0.0,13717.0,8036.0,19997.5,0.0,0,0.016666666666666666,1,0.11666666666666667,7,0.2833333333333333,17,0.016666666666666666,1,0.0,0,0.0,0,0.0,0,0.0,0,0.25,15,0.08333333333333333,5,0.6154974449560153
cantrip,role,372,1.6693548387096775,2.0,1.0,2.0,0.47612528045845315,1.0,0.0,0.7043010752688172,0.2956989247311828,0.0,0.0,0.09408602150537634,0.0,12115.0,5692.0,18862.25,0.0,0,0.005376344086021506,2,1.0,372,0.002688172043010753,1,0.13709677419354838,51,0.0,0,0.0,0,0.0,0,0.005376344086021506,2,0.0,0,0.09408602150537634,35,-1.0412693512280249
card_draw_burst,role,1912,2.956589958158996,3.0,2.0,4.0,1.6823283089155516,0.42677824267782427,0.08158995815899582,0.24843096234309622,0.16788702928870292,0.3064853556485356,0.5836820083682008,0.6438284518828452,1.0,13302.0,6859.5,19622.0,0.05543933054393305,106,0.11297071129707113,216,1.0,1912,0.004707112970711297,9,0.08315899581589958,159,0.0,0,0.0015690376569037657,3,0.0015690376569037657,3,0.012552301255230125,24,0.5287656903765691,1011,0.11506276150627615,220,-0.2696828830503811
card_draw_engine,role,1200,3.44,3.0,2.0,4.0,1.4252719038836064,0.25916666666666666,0.08166666666666667,0.04,0.014166666666666666,0.6466666666666666,0.9458333333333333,1.1691666666666667,1.0,8847.0,4016.0,14779.5,0.0008333333333333334,1,0.08166666666666667,98,1.0,1200,0.0008333333333333334,1,0.0175,21,0.0,0,0.0,0,0.0008333333333333334,1,0.009166666666666667,11,0.9408333333333333,1129,0.22833333333333333,274,0.020079757224127904
cheap_spell,role,2843,1.5898698557861415,2.0,1.0,2.0,0.5073460537311741,1.0,0.0,0.6457966936334858,0.35420330636651426,0.011959198030249736,0.0,0.10165318325712276,0.0,14020.0,7273.5,20670.0,0.005979599015124868,17,0.01266268026732325,36,0.1308476960956736,372,0.005276116778051354,15,0.17024270137179037,484,0.0,0,0.0007034822370735139,2,0.0014069644741470278,4,0.022159690467815688,63,0.013366162504396765,38,0.088287020752726,251,-1.088913745263334
combat_pump,role,329,3.662613981762918,4.0,3.0,5.0,1.6988733545200265,0.23708206686930092,0.12462006079027356,0.24924012158054712,0.12158054711246201,0.49240121580547114,0.6291793313069909,0.7477203647416414,1.0,17914.0,9371.0,23198.0,0.0121580547112462,4,0.04559270516717325,15,0.04559270516717325,15,0.00303951367781155,1,0.015197568389057751,5,0.0,0,0.0,0,0.0,0,0.00911854103343465,3,0.60790273556231,200,0.1398176291793313,46,0.15351764542352236
